,tweet_id,airline_sentiment,name,text,tweet_coord,tweet_created,tweet_location,user_timezone
0,5.70306e+17,neutral,cairdin,@VirginAmerica What @dhepburn said.,,24/02/15 11:35,,Eastern Time (US & Canada)
1,5.70301e+17,positive,jnardino,@VirginAmerica plus you've added commercials to the experience... tacky.,,24/02/15 11:15,,Pacific Time (US & Canada)
2,5.70301e+17,neutral,yvonnalynn,@VirginAmerica I didn't today... Must mean I need to take another trip!,,24/02/15 11:15,Lets Play,Central Time (US & Canada)
3,5.70301e+17,negative,jnardino,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",,24/02/15 11:15,,Pacific Time (US & Canada)
4,5.70301e+17,negative,jnardino,@VirginAmerica and it's a really big bad thing about it,,24/02/15 11:14,,Pacific Time (US & Canada)
5,5.70301e+17,negative,jnardino,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",,24/02/15 11:14,,Pacific Time (US & Canada)
6,5.70301e+17,positive,cjmcginnis,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",,24/02/15 11:13,San Francisco CA,Pacific Time (US & Canada)
7,5.703e+17,neutral,pilot,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",,24/02/15 11:12,Los Angeles,Pacific Time (US & Canada)
8,5.703e+17,positive,dhepburn,"@virginamerica Well, I didn't…but NOW I DO! :-D",,24/02/15 11:11,San Diego,Pacific Time (US & Canada)
9,5.70295e+17,positive,YupitsTate,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",,24/02/15 10:53,Los Angeles,Eastern Time (US & Canada)
10,5.70294e+17,neutral,idk_but_youtube,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,,24/02/15 10:48,1/1 loner squad,Eastern Time (US & Canada)
11,5.7029e+17,positive,HyperCamiLax,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,,24/02/15 10:30,NYC,America/New_York
12,5.7029e+17,positive,HyperCamiLax,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,,24/02/15 10:30,NYC,America/New_York
13,5.70287e+17,positive,mollanderson,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,,24/02/15 10:21,,Eastern Time (US & Canada)
14,5.70286e+17,positive,sjespers,@VirginAmerica Thanks!,,24/02/15 10:15,"San Francisco, CA",Pacific Time (US & Canada)
15,5.70282e+17,negative,smartwatermelon,@VirginAmerica SFO-PDX schedule is still MIA.,,24/02/15 10:01,"palo alto, ca",Pacific Time (US & Canada)
16,5.70278e+17,positive,ItzBrianHunty,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,,24/02/15 9:42,west covina,Pacific Time (US & Canada)
17,5.70277e+17,negative,heatherovieda,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,,24/02/15 9:39,this place called NYC,Eastern Time (US & Canada)
18,5.70271e+17,positive,thebrandiray,I ❤️ flying @VirginAmerica. ☺️👍,,24/02/15 9:15,Somewhere celebrating life. ,Atlantic Time (Canada)
19,5.70268e+17,positive,JNLpierce,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,,24/02/15 9:04,Boston | Waltham,Quito
20,5.70266e+17,negative,MISSGJ,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,,24/02/15 8:55,,
21,5.70264e+17,positive,DT_Les,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,"[40.74804263, -73.99295302]",24/02/15 8:49,,
22,5.70259e+17,positive,ElvinaBeck,@VirginAmerica I love the hipster innovation. You are a feel good brand.,,24/02/15 8:30,Los Angeles,Pacific Time (US & Canada)
23,5.70259e+17,neutral,rjlynch21086,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,,24/02/15 8:27,"Boston, MA ",Eastern Time (US & Canada)
24,5.70257e+17,negative,ayeevickiee,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,,24/02/15 8:18,714,Mountain Time (US & Canada)
25,5.70249e+17,negative,Leora13,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,,24/02/15 7:49,,
26,5.7024e+17,negative,meredithjlynn,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,,24/02/15 7:11,,
27,5.70218e+17,neutral,AdamSinger,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,,24/02/15 5:44,"San Francisco, CA",Central Time (US & Canada)
28,5.70208e+17,negative,blackjackpro911,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,"[42.361016, -71.02000488]",24/02/15 5:05,"San Mateo, CA & Las Vegas, NV",
29,5.70125e+17,neutral,TenantsUpstairs,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,"[33.94540417, -118.4062472]",23/02/15 23:34,Brooklyn,Atlantic Time (Canada)
30,5.70114e+17,negative,jordanpichler,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",,23/02/15 22:52,,Vienna
31,5.70095e+17,neutral,JCervantezzz,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,,23/02/15 21:35,"California, San Francisco",Pacific Time (US & Canada)
32,5.70088e+17,negative,Cuschoolie1,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!","[33.94209449, -118.40410103]",23/02/15 21:10,Washington DC,Quito
33,5.70085e+17,negative,amanduhmccarty,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",,23/02/15 20:55,,Pacific Time (US & Canada)
34,5.70077e+17,positive,NorthTxHomeTeam,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,"[33.2145038, -96.9321504]",23/02/15 20:24,Texas,Central Time (US & Canada)
35,5.70052e+17,neutral,miaerolinea,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,,23/02/15 18:46,Worldwide,Caracas
36,5.70051e+17,positive,Nicsplace,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,,23/02/15 18:43,Central Texas,
37,5.70045e+17,positive,Nicsplace,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",,23/02/15 18:19,Central Texas,
38,5.70039e+17,neutral,elisha_malulani,@VirginAmerica when can I book my flight to Hawaii??,,23/02/15 17:54,i'm creating a monster ,Pacific Time (US & Canada)
39,5.70036e+17,negative,DannyDouglass,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,,23/02/15 17:41,"San Francisco, CA",Pacific Time (US & Canada)
40,5.70034e+17,positive,jamesferrandini,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",,23/02/15 17:32,,
41,5.70025e+17,negative,will_lenzenjr,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",,23/02/15 17:00,Iowa City,Central Time (US & Canada)
42,5.70016e+17,neutral,GottAmanda,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,"[34.0219817, -118.38591198]",23/02/15 16:24,Los Angeles,
43,5.70015e+17,neutral,KGervaise,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,,23/02/15 16:20,Georgia,Pacific Time (US & Canada)
44,5.70014e+17,neutral,papamurat,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,,23/02/15 16:13,,
45,5.70012e+17,positive,arieldaie,@VirginAmerica I'm #elevategold for a good reason: you rock!!,,23/02/15 16:08,Los Angeles,
46,5.70011e+17,neutral,vacations7,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,,23/02/15 16:04,Turks and caicos,
47,5.70011e+17,positive,ChelseaPoe666,@VirginAmerica wow this just blew my mind,,23/02/15 16:01,Oakland via Midwest ,Atlantic Time (Canada)
