,airline_sentiment,name,text,tweet_created,tweet_location,user_timezone,hashtags,tags
0,neutral,cairdin,virginamerica dhepburn said,24/02/15 11:35,,Eastern Time (US & Canada),[],"['virginamerica', 'dhepburn']"
1,positive,jnardino,virginamerica plus youve added commercials experience tacky,24/02/15 11:15,,Pacific Time (US & Canada),[],['virginamerica']
2,neutral,yvonnalynn,virginamerica didnt today must mean need take another trip,24/02/15 11:15,Lets Play,Central Time (US & Canada),[],['virginamerica']
3,negative,jnardino,virginamerica really aggressive blast obnoxious entertainment guests faces little recourse,24/02/15 11:15,,Pacific Time (US & Canada),[],['virginamerica']
4,negative,jnardino,virginamerica really big bad thing,24/02/15 11:14,,Pacific Time (US & Canada),[],['virginamerica']
5,negative,jnardino,virginamerica seriously would pay 30 flight seats didnt playing really bad thing flying va,24/02/15 11:14,,Pacific Time (US & Canada),[],['virginamerica']
6,positive,cjmcginnis,virginamerica yes nearly every time fly vx ear worm wont go away,24/02/15 11:13,San Francisco CA,Pacific Time (US & Canada),[],['virginamerica']
7,neutral,pilot,virginamerica really missed prime opportunity men without hats parody,24/02/15 11:12,Los Angeles,Pacific Time (US & Canada),[],['virginamerica']
8,positive,dhepburn,virginamerica well didntbut,24/02/15 11:11,San Diego,Pacific Time (US & Canada),[],['virginamerica']
9,positive,YupitsTate,virginamerica amazing arrived hour early youre good,24/02/15 10:53,Los Angeles,Eastern Time (US & Canada),[],['virginamerica']
10,neutral,idk_but_youtube,virginamerica know suicide second leading cause death among teens 1024,24/02/15 10:48,1/1 loner squad,Eastern Time (US & Canada),[],['virginamerica']
11,positive,HyperCamiLax,virginamerica 3 pretty graphics much better minimal iconography,24/02/15 10:30,NYC,America/New_York,[],['virginamerica']
12,positive,HyperCamiLax,virginamerica great deal already thinking 2nd trip australia havent even gone 1st trip yet p,24/02/15 10:30,NYC,America/New_York,[],"['virginamerica', 'australia']"
13,positive,mollanderson,virginamerica virginmedia im flying fabulous seductive skies u take stress away travel,24/02/15 10:21,,Eastern Time (US & Canada),"['fabulous', 'seductive', 'stress']","['virginamerica', 'virginmedia']"
14,positive,sjespers,virginamerica thanks,24/02/15 10:15,"San Francisco, CA",Pacific Time (US & Canada),[],['virginamerica']
15,negative,smartwatermelon,virginamerica sfopdx schedule still mia,24/02/15 10:01,"palo alto, ca",Pacific Time (US & Canada),[],['virginamerica']
16,positive,ItzBrianHunty,virginamerica excited first cross country flight lax mco ive heard nothing great things virgin america 29daystogo,24/02/15 9:42,west covina,Pacific Time (US & Canada),['29daystogo'],['virginamerica']
17,negative,heatherovieda,virginamerica flew nyc sfo last week couldnt fully sit seat due two large gentleman either side help,24/02/15 9:39,this place called NYC,Eastern Time (US & Canada),[],['virginamerica']
18,positive,thebrandiray,flying virginamerica,24/02/15 9:15,Somewhere celebrating life. ,Atlantic Time (Canada),[],['virginamerica.']
19,positive,JNLpierce,virginamerica know would amazingly awesome bosfll please want fly,24/02/15 9:04,Boston | Waltham,Quito,[],['virginamerica']
20,negative,MISSGJ,virginamerica first fares may three times carriers seats available select,24/02/15 8:55,,,[],['virginamerica']
21,positive,DT_Les,virginamerica love graphic,24/02/15 8:49,,,[],['virginamerica']
22,positive,ElvinaBeck,virginamerica love hipster innovation feel good brand,24/02/15 8:30,Los Angeles,Pacific Time (US & Canada),[],['virginamerica']
23,neutral,rjlynch21086,virginamerica making boslas non stop permanently anytime soon,24/02/15 8:27,"Boston, MA ",Eastern Time (US & Canada),[],['virginamerica']
24,negative,ayeevickiee,virginamerica guys messed seating reserved seating friends guys gave seat away want free internet,24/02/15 8:18,714,Mountain Time (US & Canada),[],['virginamerica']
25,negative,Leora13,virginamerica status match program applied three weeks called emailed response,24/02/15 7:49,,,[],['virginamerica']
26,negative,meredithjlynn,virginamerica happened 2 ur vegan food options least say ur site know wont able 2 eat anything next 6 hrs fail,24/02/15 7:11,,,['fail'],['virginamerica']
27,neutral,AdamSinger,virginamerica miss dont worry well together soon,24/02/15 5:44,"San Francisco, CA",Central Time (US & Canada),[],['virginamerica']
28,negative,blackjackpro911,virginamerica amazing cant get cold air vents vx358 noair worstflightever roasted sfotobos,24/02/15 5:05,"San Mateo, CA & Las Vegas, NV",,"['vx358', 'noair', 'worstflightever', 'roasted', 'sfotobos']",['virginamerica']
29,neutral,TenantsUpstairs,virginamerica lax ewr middle seat red eye noob maneuver sendambien andchexmix,23/02/15 23:34,Brooklyn,Atlantic Time (Canada),"['sendambien', 'andchexmix']",['virginamerica']
30,negative,jordanpichler,virginamerica hi bked cool birthday trip cant add elevate cause entered middle name flight booking problems,23/02/15 22:52,,Vienna,[],['virginamerica']
31,neutral,JCervantezzz,virginamerica hours operation club sfo posted online current,23/02/15 21:35,"California, San Francisco",Pacific Time (US & Canada),[],['virginamerica']
32,negative,Cuschoolie1,virginamerica help left expensive headphones flight 89 iad lax today seat 2a one answering lf number lax,23/02/15 21:10,Washington DC,Quito,[],['virginamerica']
33,negative,amanduhmccarty,virginamerica awaiting return phone call would prefer use online selfservice option,23/02/15 20:55,,Pacific Time (US & Canada),[],['virginamerica']
34,positive,NorthTxHomeTeam,virginamerica great news america could start flights hawaii end year via pacificbiznews,23/02/15 20:24,Texas,Central Time (US & Canada),[],"['virginamerica', 'pacificbiznews']"
35,neutral,miaerolinea,nice rt virginamerica vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience,23/02/15 18:46,Worldwide,Caracas,"['moodlitmonday', 'sciencebehindtheexperience']",['virginamerica:']
36,positive,Nicsplace,virginamerica moodlighting way fly best experience ever cool calming moodlitmonday,23/02/15 18:43,Central Texas,,['moodlitmonday'],['virginamerica']
37,positive,Nicsplace,virginamerica freddieawards done done best airline around hands,23/02/15 18:19,Central Texas,,[],"['virginamerica', 'freddieawards']"
38,neutral,elisha_malulani,virginamerica book flight hawaii,23/02/15 17:54,i'm creating a monster ,Pacific Time (US & Canada),[],['virginamerica']
39,negative,DannyDouglass,virginamerica chat support working site,23/02/15 17:41,"San Francisco, CA",Pacific Time (US & Canada),[],['virginamerica']
40,positive,jamesferrandini,virginamerica view downtown los angeles hollywood sign beyond rain mountains,23/02/15 17:32,,,[],['virginamerica']
41,negative,will_lenzenjr,virginamerica hey first time flyer next week excited im hard time getting flights added elevate account help,23/02/15 17:00,Iowa City,Central Time (US & Canada),[],['virginamerica']
42,neutral,GottAmanda,virginamerica plz help win bid upgrade flight 227 laxsea,23/02/15 16:24,Los Angeles,,[],['virginamerica']
43,neutral,KGervaise,virginamerica unused ticket moved new city dont fly fly expires travelhelp,23/02/15 16:20,Georgia,Pacific Time (US & Canada),['travelhelp'],['virginamerica']
44,neutral,papamurat,virginamerica flights leaving dallas seattle time feb 24,23/02/15 16:13,,,[],['virginamerica']
45,positive,arieldaie,virginamerica im elevategold good reason rock,23/02/15 16:08,Los Angeles,,['elevategold'],['virginamerica']
46,neutral,vacations7,virginamerica dream,23/02/15 16:04,Turks and caicos,,[],['virginamerica']
47,positive,ChelseaPoe666,virginamerica wow blew mind,23/02/15 16:01,Oakland via Midwest ,Atlantic Time (Canada),[],['virginamerica']
48,neutral,BobGlavinVO,virginamerica ladygaga carrieunderwood last night tribute soundofmusic oscars2015 ladygaga think carrieunderwood agree,23/02/15 16:01,"New York, NY",Eastern Time (US & Canada),"['tribute', 'soundofmusic', 'oscars2015']","['virginamerica', 'ladygaga', 'carrieunderwood', 'ladygaga!', 'carrieunderwood']"
49,neutral,lisaaiko,virginamerica ladygaga carrieunderwood entertaining,23/02/15 15:58,,,[],"['virginamerica', 'ladygaga', 'carrieunderwood']"
50,neutral,grantbrowne,virginamerica flight 769 way supposed take 30 minutes ago website still shows time flight thanks,23/02/15 15:55,Worldwide,Central Time (US & Canada),[],['virginamerica']
51,positive,joyabsalon,virginamerica ladygaga carrieunderwood julie andrews way though ladygaga impressive carrieunderwood,23/02/15 15:46,Northern Virginia,Eastern Time (US & Canada),[],"['virginamerica', 'ladygaga', 'carrieunderwood', 'ladygaga', 'carrieunderwood']"
52,neutral,2v,virginamerica wish flew atlanta soon,23/02/15 15:36,Los Angeles / Atlanta,Eastern Time (US & Canada),[],['virginamerica']
53,neutral,KSmithFoundHere,virginamerica ladygaga carrieunderwood julie andrews hands,23/02/15 15:24,,Atlantic Time (Canada),[],"['virginamerica', 'ladygaga', 'carrieunderwood']"
54,neutral,papamurat,virginamerica flights leaving dallas la february 24th,23/02/15 15:19,,,[],['virginamerica']
55,negative,murphicus,virginamerica hi im excited 99 lgadal deal ive trying 2 book since last week page never loads thx,23/02/15 15:05,"new york, new york",Eastern Time (US & Canada),[],['virginamerica']
56,positive,VinnieFerra,virginamerica know need spotify stat guiltypleasures,23/02/15 15:04,"brooklyn, Ny",Pacific Time (US & Canada),['guiltypleasures'],['virginamerica']
57,positive,KevinDemsi,virginamerica ladygaga carrieunderwood im lady gaga amazing,23/02/15 14:40,"Bali, Republic of Indonesia",Kuala Lumpur,[],"['virginamerica', 'ladygaga', 'carrieunderwood']"
58,neutral,giffgaffman,virginamerica ladygaga carrieunderwood carrie,23/02/15 14:40,"UK, USA. ",,[],"['virginamerica', 'ladygaga', 'carrieunderwood']"
59,neutral,HanlonBrothers,virginamerica new marketing song let us know think,23/02/15 14:37,"Gold Coast, Australia",Brisbane,[],['virginamerica']
60,neutral,emilybg78,virginamerica ladygaga carrieunderwood julie andrews first lady gaga wowd last night carrie meh,23/02/15 14:36,"Stockton, CA",Arizona,[],"['virginamerica', 'ladygaga', 'carrieunderwood']"
61,negative,rachie1126,virginamerica called 34 weeks ago adding 3 flights 2014 elevatethey still havent shown uphelp,23/02/15 14:35,"New York, NY",Eastern Time (US & Canada),[],['virginamerica']
62,neutral,adawson66,virginamerica ladygaga carrieunderwood great go carrieunderwood,23/02/15 14:30,,,['carrieunderwood'],"['virginamerica', 'ladygaga', 'carrieunderwood']"
63,neutral,SocialPLC,virginamerica ladygaga carrieunderwood sorry mary martin first,23/02/15 14:26,"Twin Cities, Minn.",Eastern Time (US & Canada),[],"['virginamerica', 'ladygaga', 'carrieunderwood']"
64,positive,jeffreymace01,virginamerica ladygaga carrieunderwood love three really cant beat classics,23/02/15 14:25,,,[],"['virginamerica', 'ladygaga', 'carrieunderwood']"
65,neutral,1stcrown,virginamerica flight 0736 dal dca 224 210pm tried check could status please,23/02/15 14:09,USA,Central Time (US & Canada),[],['virginamerica']
66,negative,onerockgypsy,virginamerica heyyyy guyyyys trying get hour someone call please,23/02/15 13:46,next city,Pacific Time (US & Canada),[],['virginamerica']
67,negative,noelduan,virginamerica hi virgin im hold 4050 minutes earlier flights la nyc tonight earlier 1150pm,23/02/15 13:35,SF ↔ NY,Eastern Time (US & Canada),[],['virginamerica']
68,positive,Travelzoo,virginamerica congrats winning travelzoo award best deals airline us,23/02/15 13:30,"New York, NY",Pacific Time (US & Canada),[],"['virginamerica', 'travelzoo']"
69,negative,gianagon,virginamerica everything fine lost bag,23/02/15 13:08,New York + Panama,Eastern Time (US & Canada),[],['virginamerica']
70,neutral,bxchen,virginamerica need change reservation virgin credit card need modify phone waive change fee online,23/02/15 12:47,"San Francisco, CA",Eastern Time (US & Canada),[],['virginamerica']
71,neutral,seimatrun,virginamerica emailed customer service team let know need tracking number,23/02/15 12:00,Los Angeles,,[],['virginamerica']
72,neutral,jamied7,virginamerica hi booked flight need add baggage,23/02/15 11:56,"London, England",London,[],['virginamerica']
73,negative,seimatrun,virginamerica airline awesome lax loft needs step game 40 dirty tables floors,23/02/15 11:46,Los Angeles,,[],['virginamerica']
74,positive,mrmichaellay,virginamerica worried great ride new plane great crew airlines like,23/02/15 11:32,Floridian from Cincinnati ,Eastern Time (US & Canada),[],['virginamerica']
75,positive,TaylorLumsden,virginamerica awesome flew yall sat morning way correct bill,23/02/15 11:28,"Dallas, Texas",Mountain Time (US & Canada),[],['virginamerica']
76,neutral,campusmoviefest,virginamerica watch best student films country 35000 feet cmfat35000feet,23/02/15 11:24,USA,Eastern Time (US & Canada),['cmfat35000feet'],['virginamerica']
77,neutral,TaylorLumsden,virginamerica first time flying different ratepolicy media bags thanks,23/02/15 11:22,"Dallas, Texas",Mountain Time (US & Canada),[],['virginamerica']
78,negative,meme_meng,virginamerica going customer service anyway speak human asap thank,23/02/15 11:02,,,[],['virginamerica']
79,neutral,kyle_romanoff,virginamerica happened doom,23/02/15 10:58,,,[],['virginamerica']
80,negative,GunsNDip,virginamerica cant supp biz traveler like southwestair customer service like jetblue neverflyvirginforbusiness,23/02/15 10:56,,Pacific Time (US & Canada),['neverflyvirginforbusiness'],"['virginamerica', 'southwestair', 'jetblue']"
81,positive,artisticwritr87,virginamerica ive applied member inflight crew teamim 100 interested flightattendant dreampath g,23/02/15 10:56,"Seattle, WA",Pacific Time (US & Canada),"['inflight', 'flightattendant', 'dreampath']",['virginamerica']
